FECHA,PM2.5,NO,NO2,PM10,NOx,As,Pb,Cd,SO2,Ni,O3,Unnamed: 12,Veloc.,Direc.,CO
2019-03-01,34.0,54.0,54.0,106.0,33.0,,,,,,,,,,
2019-03-02,13.0,40.0,53.0,60.0,34.0,,,,,,,,,,
2019-03-03,22.0,42.0,43.0,76.0,21.0,,,,,,,,,,
2019-03-04,20.0,34.0,38.0,64.0,14.0,,,,,,,,,,
2019-03-05,16.0,34.0,33.0,59.0,22.0,,,,,,,,,,
2019-03-06,20.0,39.0,47.0,70.0,31.0,,,,,,,,,,
2019-03-07,19.0,32.0,18.0,61.0,9.0,,,,,,,,,,
2019-03-08,20.0,43.0,27.0,74.0,15.0,,,,,,,,,,
2019-03-09,16.0,39.0,40.0,63.0,24.0,,,,,,,,,,
2019-03-10,15.0,40.0,34.0,63.0,20.0,,,,,,,,,,
2019-03-11,26.0,42.0,35.0,82.0,19.0,,,,,,,,,,
2019-03-12,26.0,46.0,38.0,86.0,21.0,,,,,,,,,,
2019-03-13,20.0,41.0,35.0,71.0,19.0,,,,,,,,,,
2019-03-14,23.0,41.0,31.0,77.0,14.0,,,,,,,,,,
2019-03-15,34.0,50.0,55.0,101.0,29.0,,,,,,,,,,
2019-03-16,,,57.0,,40.0,,,,,,,,,,
2019-03-17,12.0,27.0,54.0,45.0,31.0,,,,,,,,,,
2019-03-18,6.0,15.0,30.0,23.0,17.0,,,,,,,,,,
2019-03-19,5.0,12.0,28.0,20.0,19.0,,,,,,,,,,
2019-03-20,18.0,36.0,27.0,63.0,15.0,,,,,,,,,,
2019-03-21,15.0,36.0,30.0,59.0,16.0,,,,,,,,,,
2019-03-22,15.0,44.0,35.0,68.0,20.0,,,,,,,,,,
2019-03-23,11.0,44.0,39.0,60.0,27.0,,,,,,,,,,
2019-03-24,10.0,32.0,36.0,47.0,24.0,,,,,,,,,,
2019-03-25,23.0,47.0,38.0,82.0,23.0,,,,,,,,,,
2019-03-26,15.0,33.0,32.0,55.0,18.0,,,,,,,,,,
2019-03-27,14.0,35.0,27.0,56.0,13.0,,,,,,,,,,
2019-03-28,17.0,40.0,28.0,66.0,16.0,,,,,,,,,,
2019-03-29,15.0,40.0,30.0,63.0,18.0,,,,,,,,,,
2019-03-30,8.0,25.0,26.0,36.0,19.0,,,,,,,,,,
2019-03-31,3.0,8.0,18.0,12.0,16.0,,,,,,,,,,
2020-03-01,11.0,7.0,10.0,20.0,20.0,,,,,,,,,,
2020-03-02,7.0,14.0,21.0,30.0,41.0,,,,,,,,,,
2020-03-03,6.0,15.0,22.0,13.0,46.0,,,,,,,,,,
2020-03-04,6.0,30.0,31.0,12.0,77.0,,,,,,,,,,
2020-03-05,9.0,21.0,27.0,19.0,60.0,,,,,,,,,,
2020-03-06,6.0,16.0,23.0,13.0,47.0,,,,,,,,,,
2020-03-07,12.0,9.0,23.0,19.0,37.0,,,,,,,,,,
2020-03-08,9.0,10.0,27.0,16.0,42.0,,,,,,,,,,
2020-03-09,10.0,34.0,41.0,21.0,93.0,,,,,,,,,,
2020-03-10,14.0,26.0,48.0,24.0,88.0,,,,,,,,,,
2020-03-11,25.0,50.0,65.0,36.0,141.0,,,,,,,,,,
2020-03-12,29.0,31.0,52.0,33.0,99.0,,,,,,,,,,
2020-03-13,21.0,19.0,34.0,24.0,63.0,,,,,,,,,,
2020-03-14,12.0,13.0,29.0,16.0,48.0,,,,,,,,,,
2020-03-15,11.0,8.0,12.0,13.0,24.0,,,,,,,,,,
2020-03-16,5.0,17.0,27.0,6.0,53.0,,,,,,,,,,
2020-03-17,18.0,19.0,25.0,19.0,55.0,,,,,,,,,,
2020-03-18,20.0,12.0,22.0,24.0,41.0,,,,,,,,,,
2020-03-19,21.0,9.0,13.0,23.0,26.0,,,,,,,,,,
