Fecha,PM2.5(µg/m³),NO(µg/m³),NO2(µg/m³),PM10(µg/m³),NOx(µg/m³),Year,Month,Day,DayOfYear,Period
2019-01-01,15.0,32.0,32,54.0,22,2019,1,1,1,Rest of Year
2019-01-02,55.0,48.0,40,132.0,21,2019,1,2,2,Rest of Year
2019-01-03,50.0,48.0,47,125.0,27,2019,1,3,3,Rest of Year
2019-01-04,45.0,42.0,44,111.0,29,2019,1,4,4,Rest of Year
2019-01-05,19.0,25.0,45,54.0,32,2019,1,5,5,Rest of Year
2019-01-06,,,39,,26,2019,1,6,6,Rest of Year
2019-01-07,,,42,,21,2019,1,7,7,Rest of Year
2019-01-08,,,46,,31,2019,1,8,8,Rest of Year
2019-01-09,,,44,,22,2019,1,9,9,Rest of Year
2019-01-10,30.0,52.0,27,98.0,11,2019,1,10,10,Rest of Year
2019-01-11,59.0,61.0,46,152.0,21,2019,1,11,11,Rest of Year
2019-01-12,37.0,58.0,40,115.0,24,2019,1,12,12,Rest of Year
2019-01-13,29.0,46.0,30,89.0,19,2019,1,13,13,Rest of Year
2019-01-14,57.0,57.0,39,144.0,19,2019,1,14,14,Rest of Year
2019-01-15,67.0,59.0,41,161.0,23,2019,1,15,15,Rest of Year
2019-01-16,53.0,60.0,59,141.0,41,2019,1,16,16,Rest of Year
2019-01-17,94.0,62.0,78,205.0,50,2019,1,17,17,Rest of Year
2019-01-18,47.0,57.0,44,129.0,23,2019,1,18,18,Rest of Year
2019-01-19,23.0,43.0,31,78.0,20,2019,1,19,19,Rest of Year
2019-01-20,23.0,40.0,26,75.0,18,2019,1,20,20,Rest of Year
2019-01-21,40.0,48.0,23,109.0,9,2019,1,21,21,Rest of Year
2019-01-22,19.0,37.0,22,66.0,11,2019,1,22,22,Rest of Year
2019-01-23,24.0,37.0,29,73.0,7,2019,1,23,23,Rest of Year
2019-01-24,13.0,24.0,17,43.0,4,2019,1,24,24,Rest of Year
2019-01-25,20.0,32.0,16,62.0,5,2019,1,25,25,Rest of Year
2019-01-26,24.0,43.0,27,80.0,15,2019,1,26,26,Rest of Year
2019-01-27,4.0,19.0,18,26.0,8,2019,1,27,27,Rest of Year
2019-01-28,24.0,40.0,25,77.0,8,2019,1,28,28,Rest of Year
2019-01-29,21.0,34.0,23,65.0,8,2019,1,29,29,Rest of Year
2019-01-30,24.0,36.0,18,73.0,7,2019,1,30,30,Rest of Year
2019-01-31,14.0,23.0,18,44.0,4,2019,1,31,31,Rest of Year
2019-02-01,10.0,23.0,19,39.0,5,2019,2,1,32,Rest of Year
2019-02-02,11.0,19.0,17,36.0,6,2019,2,2,33,Rest of Year
2019-02-03,9.0,14.0,19,27.0,5,2019,2,3,34,Rest of Year
2019-02-04,33.0,53.0,28,104.0,13,2019,2,4,35,Rest of Year
2019-02-05,45.0,58.0,42,127.0,21,2019,2,5,36,Rest of Year
2019-02-06,52.0,59.0,49,138.0,27,2019,2,6,37,Rest of Year
2019-02-07,53.0,54.0,50,136.0,32,2019,2,7,38,Rest of Year
2019-02-08,41.0,54.0,55,116.0,40,2019,2,8,39,Rest of Year
2019-02-09,25.0,48.0,56,86.0,44,2019,2,9,40,Rest of Year
2019-02-10,10.0,24.0,27,39.0,16,2019,2,10,41,Rest of Year
2019-02-11,39.0,48.0,29,106.0,14,2019,2,11,42,Rest of Year
2019-02-12,29.0,49.0,28,94.0,14,2019,2,12,43,Rest of Year
2019-02-13,33.0,51.0,37,101.0,20,2019,2,13,44,Rest of Year
2019-02-14,24.0,55.0,32,91.0,19,2019,2,14,45,Rest of Year
2019-02-15,22.0,49.0,47,83.0,31,2019,2,15,46,Rest of Year
2019-02-16,12.0,40.0,49,58.0,39,2019,2,16,47,Rest of Year
2019-02-17,,,26,,19,2019,2,17,48,Rest of Year
2019-02-18,28.0,48.0,36,90.0,24,2019,2,18,49,Rest of Year
2019-02-19,,,49,,34,2019,2,19,50,Rest of Year
2019-02-20,22.0,53.0,48,86.0,34,2019,2,20,51,Rest of Year
2019-02-21,31.0,55.0,58,102.0,43,2019,2,21,52,Rest of Year
2019-02-22,55.0,65.0,79,149.0,46,2019,2,22,53,Rest of Year
2019-02-23,17.0,47.0,62,73.0,37,2019,2,23,54,Rest of Year
2019-02-24,,,57,,39,2019,2,24,55,Rest of Year
2019-02-25,32.0,56.0,51,105.0,33,2019,2,25,56,Rest of Year
2019-02-26,40.0,66.0,48,127.0,28,2019,2,26,57,Rest of Year
2019-02-27,34.0,67.0,58,119.0,30,2019,2,27,58,Rest of Year
2019-02-28,41.0,64.0,56,127.0,28,2019,2,28,59,Rest of Year
2019-03-01,34.0,54.0,54,106.0,33,2019,3,1,60,Pre-Fallas (Mar 1-14)
2019-03-02,13.0,40.0,53,60.0,34,2019,3,2,61,Pre-Fallas (Mar 1-14)
2019-03-03,22.0,42.0,43,76.0,21,2019,3,3,62,Pre-Fallas (Mar 1-14)
2019-03-04,20.0,34.0,38,64.0,14,2019,3,4,63,Pre-Fallas (Mar 1-14)
2019-03-05,16.0,34.0,33,59.0,22,2019,3,5,64,Pre-Fallas (Mar 1-14)
2019-03-06,20.0,39.0,47,70.0,31,2019,3,6,65,Pre-Fallas (Mar 1-14)
2019-03-07,19.0,32.0,18,61.0,9,2019,3,7,66,Pre-Fallas (Mar 1-14)
2019-03-08,20.0,43.0,27,74.0,15,2019,3,8,67,Pre-Fallas (Mar 1-14)
2019-03-09,16.0,39.0,40,63.0,24,2019,3,9,68,Pre-Fallas (Mar 1-14)
2019-03-10,15.0,40.0,34,63.0,20,2019,3,10,69,Pre-Fallas (Mar 1-14)
2019-03-11,26.0,42.0,35,82.0,19,2019,3,11,70,Pre-Fallas (Mar 1-14)
2019-03-12,26.0,46.0,38,86.0,21,2019,3,12,71,Pre-Fallas (Mar 1-14)
2019-03-13,20.0,41.0,35,71.0,19,2019,3,13,72,Pre-Fallas (Mar 1-14)
2019-03-14,23.0,41.0,31,77.0,14,2019,3,14,73,Pre-Fallas (Mar 1-14)
2019-03-15,34.0,50.0,55,101.0,29,2019,3,15,74,Fallas (Mar 15-19)
2019-03-16,,,57,,40,2019,3,16,75,Fallas (Mar 15-19)
2019-03-17,12.0,27.0,54,45.0,31,2019,3,17,76,Fallas (Mar 15-19)
2019-03-18,6.0,15.0,30,23.0,17,2019,3,18,77,Fallas (Mar 15-19)
2019-03-19,5.0,12.0,28,20.0,19,2019,3,19,78,Fallas (Mar 15-19)
